question,prediction,expected_output,score,logprob
"A man is sitting on a roof. he
Choices:
A) is using wrap to wrap a pair of skis.
B) is ripping level tiles off.
C) is holding a rubik's cube.
D) starts pulling up roofing on a roof.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A lady walks to a barbell. She bends down and grabs the pole. the lady
Choices:
A) swings and lands in her arms.
B) pulls the barbell forward.
C) pulls a rope attached to the barbell.
D) stands and lifts the weight over her head.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background. the child and a different man
Choices:
A) are then shown paddling down a river in a boat while a woman talks.
B) are driving the canoe, they go down the river flowing side to side.
C) sit in a canoe while the man paddles.
D) walking go down the rapids, while the man in his helicopter almost falls and goes out of canoehood.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A boy is running down a track. the boy
Choices:
A) runs into a car.
B) gets in a mat.
C) lifts his body above the height of a pole.
D) stands on his hands and springs.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat. the boy
Choices:
A) turns his body around on the mat.
B) gets up from the mat.
C) continues to lift his body over the pole.
D) wiggles out of the mat.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"The boy lands on his back on to a red mat. The boy gets up from the mat. the boy
Choices:
A) starts doing spins.
B) celebrates by clapping and flexing both arms.
C) is dancing on the mat.
D) does jump jacks on his stick.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A man is standing in front of a camera. He starts playing a harmonica for the camera. he
Choices:
A) begins to play the harmonica with his body while looking at the camera.
B) seems to be singing while playing the harmonica.
C) rocks back and forth to the music as he goes.
D) painted a fence in front of the camera.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A cartoon animation video is shown with people wandering around and rockets being shot. two men
Choices:
A) fight robots of evil and ends with a to be continued.
B) are then shown in closeups shooting a shot put.
C) push a child in a speedboat in the water.
D) look in the cameraman's eye and smile.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A man is holding a pocket knife while sitting on some rocks in the wilderness. then he
Choices:
A) opens a can of oil put oil on the knife, and puts oil on a knife and press it through a can filled with oil then cuts several pieces from the sandwiches.
B) takes a small stone from the flowing river and smashes it on another stone.
C) uses the knife to shave his leg.
D) sand the rocks and tops them by using strong pressure.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. he
Choices:
A) cuts the center stone in half and blow it on to make it bigger.
B) grind it hard to make the pieces smaller.
C) eventually brings it back into view and adds it to the smaller ones to make a small triangular shaped piece.
D) starts to party with them and throw the pieces by hand while they celebrate.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood. he
Choices:
A) uses a small brush to polish one of the stone pieces.
B) then uses a strip of sealing tape to seal the board and then smooths the bottom of the board.
C) walks towards the camera.
D) then takes the knife and sharpens it against the wood piece.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece. he
Choices:
A) then cuts off the excess hair of the wood.
B) scrapes the wood with a broom in the cutting tool used in sharpening the instrument.
C) writes on the board again.
D) then notices a little black and green poisonous frog sitting next to him.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him. the frog
Choices:
A) eventually gets to get up and marches out of the room waving its body about.
B) then starts to get up from the chair and begins walking towards the camera.
C) then escapes and jumps away.
D) is acting crazy and attacking him while he is cooking.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. he
Choices:
A) sits and hugs another man and also adjusts his camera.
B) then sits there staring at his text machine as if he has actually been given a gift from god.
C) explains how the frog secretes a poisonous fluid that can be extremely harmful.
D) takes the frog on his hand and tickles the back of it.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A person is playing bagpipes out in a park. A man and two boys watching from a far. the camera
Choices:
A) shoots areas all around the park while the bagpipes play.
B) is covered to the boy that is playing there.
C) then goes black and we see a black opening scene.
D) watching the boy and boy as they play a game of drums.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera. the man
Choices:
A) dips the ball and walks back with the boy and pours detergent into a cup again.
B) then throws the ball into the pool and begins running around with a sail in his hand while a group of men watch.
C) then takes a drink having a conversation with another man and another man leads into him throwing balls in the water and laughing to the camera.
D) demonstrates how to properly throw the ball with his hands while still speaking to the camera.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats. she
Choices:
A) is then seen sitting alone as she eats a cold brown ice cream.
B) pauses in the process of eating to enjoy her food.
C) stands up and grabs her purse, continuing to talk and laugh as she leaves.
D) picks up another chocolate bar and chews it as she talks.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A group of cheerleaders run onto a stage before a cheering audience. they
Choices:
A) get into formation, then begin dancing and flipping as male cheerleaders join them.
B) perform a cheer routine before the girls, along with makeup artists, spread out and pose.
C) take turns jumping on each other like they are performing karate.
D) are then shown performing the type of cheerleading dance, using batons and pole vaults.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. they all
Choices:
A) dance and flip on stage while hanging their hats on the sides.
B) continue dancing and flipping, doing hand springs.
C) dance together with flip up their sleeves.
D) perform their routines as the studio rashes to a halt with cheerleaders in the audience.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs. when they
Choices:
A) are done, they shake hands and walk away, but cheers are heard all around as they're finished.
B) are finished, they jump up and down happily and walk off the stage, exhausted.
C) are done, a male cheerleader is crowned and an instant replay is shown.
D) come down from their workout, they all stop to bow and applaud, then they continue dancing.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A woman is reading a newspaper nearby while he speaks to her and shows her something in his hand. The man sharpens his knives using an electric tool. he
Choices:
A) sharpens and cuts something on a knife board using an electric tool.
B) then continues cutting his onion.
C) travels with his knife under the table and uses it also in his shoe.
D) then shows her a spare knife that he has also used on a knife sharpener and drills into a side of the table.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A man is outside of a building. He is using commercial lawn mowing equipment. he
Choices:
A) walks back and forth as he mows the grass.
B) is animated as he does the task.
C) relaxes, making sure his lawn is pristine.
D) runs from one side of the building to the other.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"Children bring desert out for their family member. the family
Choices:
A) floats in a river.
B) member stands looking into a hut and then handing people photographs.
C) member cuts a piece of sunscreen.
D) enjoys eating the desert together.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"The family enjoys eating the desert together. The people in the restaurant laugh at the man and he wonders what they are doing. the man
Choices:
A) goes to the bathroom and isn't able to get very far.
B) puts the glass aside and a fourth person walks in and walks away.
C) plays the bagpipe and smiles and laughs as he enjoys the hospitality.
D) gets up and walks away to the other room.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A black female is shown in a room with a black scarf around her head. black spots on her faced
Choices:
A) are then zoomed in on and she begins to apply something on it.
B) are shown and she misses a little bit of her swing.
C) are shown and one finger is seen poking through.
D) are shown as she continues to dance around on the hardwood and every move makes a lash on her face.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A black female is shown in a room with a black scarf around her head. Black spots on her faced are then zoomed in on and she begins to apply something on it. next
Choices:
A) , she begins to brush her lips and make painted lips look just like a lipstick to the camera and ends with her closing gift and instruction showing her off at the end.
B) she is shown in various different locations and gets extremely close to a wall.
C) , she is shown making multiple moans and sprays some kind of liquid down her face before hanging up.
D) , she takes some spray and it makes her skin extremely oily and she continues to talk until the video is over.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A helicopter flies in some people who then start playing paintball. they
Choices:
A) run around obstacles and have a great time.
B) lose their shirt during the fight and run back the others.
C) shoot at each other while the helicopter drone who am looking on.
D) chase a bird in the sky while others walk around.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A young boy and girl are standing over a sink with their mother talking. the mother
Choices:
A) is now putting lipstick on the boy's mouth and he tries to stop her but only gets a little bit stuck.
B) washes the boy while the child grabs shampoo.
C) shows some shaving cream on the boy who is scrubbing her brushes.
D) instructs them on how to brush their teeth while laughing.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A young boy and girl are standing over a sink with their mother talking. The mother instructs them on how to brush their teeth while laughing. the boy
Choices:
A) puts a shirt on and rubs his mouth.
B) helps his younger sister brush his teeth.
C) walks with an empty mouthwash cup on a sink floor.
D) and girl then begin working out.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth. she
Choices:
A) shows how to hit the mom and then kiss his dad as well.
B) brushes past the camera, looking better soon after.
C) glows from the center of the camera as a reaction.
D) gets them some water to gargle in their mouths.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
